"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX","HRZB00ICBEX6","2021-04-16",1882.17,1883.34,1876.71,1878.67,-0.19,3201986.74
"XZAG","CBX","HRZB00ICBEX6","2021-04-15",1886.25,1889.23,1880.97,1882.17,-0.22,2999308.87
"XZAG","CBX","HRZB00ICBEX6","2021-04-14",1887.01,1890.21,1880.58,1886.25,-0.04,5131907.98
"XZAG","CBX","HRZB00ICBEX6","2021-04-13",1881.66,1888.29,1879.17,1887.01,0.26,2429049.05
"XZAG","CBX","HRZB00ICBEX6","2021-04-12",1888.57,1888.59,1876.77,1882.17,-0.36,3112296.90
"XZAG","CBX","HRZB00ICBEX6","2021-04-09",1886.55,1890.83,1883.11,1889.05,0.06,2702651.98
"XZAG","CBX","HRZB00ICBEX6","2021-04-08",1881.26,1889.11,1878.35,1887.88,0.35,4900505.37
"XZAG","CBX","HRZB00ICBEX6","2021-04-07",1875.57,1882.76,1875.57,1881.26,0.30,2477195.70
"XZAG","CBX","HRZB00ICBEX6","2021-04-06",1874.80,1881.66,1872.46,1875.57,-0.05,3672194.60
"XZAG","CBX","HRZB00ICBEX6","2021-04-01",1872.22,1880.43,1872.08,1876.58,0.23,3546018.80
"XZAG","CBX","HRZB00ICBEX6","2021-03-31",1867.90,1877.03,1867.90,1872.22,0.23,5154722.86
"XZAG","CBX","HRZB00ICBEX6","2021-03-30",1851.43,1868.08,1851.43,1867.90,0.89,4165639.57
"XZAG","CBX","HRZB00ICBEX6","2021-03-29",1846.87,1857.80,1844.58,1851.43,0.18,3440294.66
"XZAG","CBX","HRZB00ICBEX6","2021-03-26",1846.36,1850.81,1840.57,1848.06,0.09,5560423.64
"XZAG","CBX","HRZB00ICBEX6","2021-03-25",1853.80,1855.87,1845.13,1846.46,-0.38,4642563.27
"XZAG","CBX","HRZB00ICBEX6","2021-03-24",1862.55,1862.97,1849.88,1853.53,-0.48,2784631.24
"XZAG","CBX","HRZB00ICBEX6","2021-03-23",1856.34,1862.55,1855.42,1862.55,0.33,4108940.80
"XZAG","CBX","HRZB00ICBEX6","2021-03-22",1854.53,1856.34,1841.48,1856.34,0.10,4199697.62
"XZAG","CBX","HRZB00ICBEX6","2021-03-19",1855.68,1856.45,1842.04,1854.42,-0.07,5272760.86
"XZAG","CBX","HRZB00ICBEX6","2021-03-18",1863.51,1865.26,1855.68,1855.68,-0.42,4021345.37
"XZAG","CBX","HRZB00ICBEX6","2021-03-17",1876.71,1878.49,1863.51,1863.51,-0.73,2743309.92
"XZAG","CBX","HRZB00ICBEX6","2021-03-16",1877.17,1887.26,1876.89,1877.16,-0.04,4815070.36
"XZAG","CBX","HRZB00ICBEX6","2021-03-15",1869.72,1882.58,1869.72,1877.84,0.41,3421717.34
"XZAG","CBX","HRZB00ICBEX6","2021-03-12",1863.95,1873.13,1857.17,1870.20,0.28,8162507.22
"XZAG","CBX","HRZB00ICBEX6","2021-03-11",1862.70,1865.16,1857.59,1864.90,0.12,5856308.82
"XZAG","CBX","HRZB00ICBEX6","2021-03-10",1861.67,1864.66,1855.69,1862.70,-0.03,7033457.90
"XZAG","CBX","HRZB00ICBEX6","2021-03-09",1846.65,1863.50,1841.56,1863.19,0.90,8647584.28
"XZAG","CBX","HRZB00ICBEX6","2021-03-08",1829.77,1846.65,1829.06,1846.65,0.92,3754987.05
"XZAG","CBX","HRZB00ICBEX6","2021-03-05",1846.23,1846.23,1827.50,1829.77,-0.85,4672164.70
"XZAG","CBX","HRZB00ICBEX6","2021-03-04",1844.35,1850.18,1843.12,1845.41,0.07,3274547.08
"XZAG","CBX","HRZB00ICBEX6","2021-03-03",1841.04,1845.24,1839.06,1844.10,0.17,3715808.08
"XZAG","CBX","HRZB00ICBEX6","2021-03-02",1830.55,1845.17,1830.55,1841.04,0.61,3940853.56
"XZAG","CBX","HRZB00ICBEX6","2021-03-01",1830.19,1835.72,1828.24,1829.88,-0.02,2681397.76
"XZAG","CBX","HRZB00ICBEX6","2021-02-26",1840.45,1841.34,1830.19,1830.19,-0.49,4063758.79
"XZAG","CBX","HRZB00ICBEX6","2021-02-25",1842.89,1846.06,1836.36,1839.11,-0.21,5801719.73
"XZAG","CBX","HRZB00ICBEX6","2021-02-24",1832.71,1843.02,1832.71,1842.89,0.56,4135482.44
"XZAG","CBX","HRZB00ICBEX6","2021-02-23",1837.95,1838.48,1830.36,1832.71,-0.26,3174779.36
"XZAG","CBX","HRZB00ICBEX6","2021-02-22",1849.64,1853.63,1837.50,1837.50,-0.63,6881064.62
"XZAG","CBX","HRZB00ICBEX6","2021-02-19",1839.85,1855.21,1837.60,1849.19,0.49,6788234.90
"XZAG","CBX","HRZB00ICBEX6","2021-02-18",1839.26,1841.88,1836.76,1840.26,0.08,3765706.98
"XZAG","CBX","HRZB00ICBEX6","2021-02-17",1833.87,1839.83,1829.53,1838.85,0.27,5843678.68
"XZAG","CBX","HRZB00ICBEX6","2021-02-16",1822.36,1835.20,1822.36,1833.87,0.63,8018063.84
"XZAG","CBX","HRZB00ICBEX6","2021-02-15",1813.98,1833.53,1813.63,1822.36,0.47,9614106.44
"XZAG","CBX","HRZB00ICBEX6","2021-02-12",1804.68,1816.82,1804.68,1813.78,0.50,4758669.82
"XZAG","CBX","HRZB00ICBEX6","2021-02-11",1801.47,1809.07,1800.26,1804.68,0.18,9155438.32
"XZAG","CBX","HRZB00ICBEX6","2021-02-10",1788.04,1802.29,1786.01,1801.47,0.75,9180685.31
"XZAG","CBX","HRZB00ICBEX6","2021-02-09",1792.93,1796.92,1786.22,1788.04,-0.27,8439365.76
"XZAG","CBX","HRZB00ICBEX6","2021-02-08",1791.56,1796.73,1788.84,1792.93,0.15,9378974.05
"XZAG","CBX","HRZB00ICBEX6","2021-02-05",1790.43,1794.18,1785.56,1790.28,-0.03,2510787.06
"XZAG","CBX","HRZB00ICBEX6","2021-02-04",1788.11,1791.65,1785.65,1790.88,0.19,3492237.77
"XZAG","CBX","HRZB00ICBEX6","2021-02-03",1795.30,1803.55,1787.49,1787.49,-0.42,3505576.93
